order,hash_id,prompt_id,prompt_sha1,cond_name,seed,is_duplicate,orig_hash_id,mirror_h,flip_v,hue_shift_deg,sat_factor,lum_factor,noise_sigma,src_path
20,3fa0840c66c9,S09_fresco,9e81add78f,baseline,777,0,3fa0840c66c9,1,1,101.24,0.9709,1.1318,1.17,S09_fresco_baseline_seed777_00001_.png
21,bd2cfdec30b3,S08_papercraft,17e466c859,blockshuf_neg_1x,4242145,0,bd2cfdec30b3,1,1,-168.29,1.4239,0.9066,1.04,S08_papercraft_blockshuf_neg_1x_seed4242145_00001_.png
22,e886e7eb23e3,S02_linocut,e20e86ac75,blockshuf_neg_1x,9999,0,e886e7eb23e3,0,0,-50.67,1.2238,0.8765,2.43,S02_linocut_blockshuf_neg_1x_seed9999_00001_.png
23,1c865f4b97c3,S03_cyberpunk,6ab02b69aa,blockshuf_neg_2x,42,0,1c865f4b97c3,0,1,-62.32,1.2926,0.9422,1.21,S03_cyberpunk_blockshuf_neg_2x_seed42_00001_.png
24,18b17c08e673,S10_synthwave,25147e923b,blockshuf_neg_1x,4242145,0,18b17c08e673,1,0,109.62,0.864,0.9012,0.75,S10_synthwave_blockshuf_neg_1x_seed4242145_00001_.png
25,7d2948cac415,S05_pencil,9a68323a39,blockshuf_neg_1x,9999,0,7d2948cac415,0,0,-164.3,1.4311,0.942,0.49,S05_pencil_blockshuf_neg_1x_seed9999_00001_.png
26,ab91f103fb4e,S07_comic,69f4e68eba,blockshuf_neg_1x,1337,0,ab91f103fb4e,1,0,-43.74,1.1045,0.9225,1.74,S07_comic_blockshuf_neg_1x_seed1337_00001_.png
27,4d8335e8e87e,S04_gouache,6335032007,preset_pos_2x,9999,0,4d8335e8e87e,0,1,-163.28,1.4391,1.1327,1.75,S04_gouache_preset_pos_2x_seed9999_00001_.png
28,7ea86df04f74,S05_pencil,9a68323a39,blockshuf_neg_2x,42,0,7ea86df04f74,1,0,-175.22,1.0882,0.9024,1.58,S05_pencil_blockshuf_neg_2x_seed42_00001_.png
29,8c21d89409b9,S08_papercraft,17e466c859,baseline,9999,0,8c21d89409b9,0,1,-113.18,0.7697,0.9546,0.83,S08_papercraft_baseline_seed9999_00001_.png
30,37b186843b00,S02_linocut,e20e86ac75,baseline,42,0,37b186843b00,1,1,-1.96,0.8354,1.0222,3.63,S02_linocut_baseline_seed42_00001_.png
31,a9a02964dbd7,S04_gouache,6335032007,baseline,777,0,a9a02964dbd7,1,0,39.75,0.643,1.0986,3.21,S04_gouache_baseline_seed777_00001_.png
32,27e16e75f083,S02_linocut,e20e86ac75,preset_pos_2x,4242145,0,27e16e75f083,0,0,126.55,0.8057,1.0216,2.4,S02_linocut_preset_pos_2x_seed4242145_00001_.png
33,ffe310d79763,S04_gouache,6335032007,blockshuf_neg_2x,42,0,ffe310d79763,1,0,-132.72,0.6346,1.0529,1.65,S04_gouache_blockshuf_neg_2x_seed42_00001_.png
34,7af42ffa34be,S08_papercraft,17e466c859,preset_pos_2x,4242145,0,7af42ffa34be,0,1,-77.99,1.3045,0.8821,1.35,S08_papercraft_preset_pos_2x_seed4242145_00001_.png
35,a8bf356f4c17,S08_papercraft,17e466c859,blockshuf_neg_1x,777,0,a8bf356f4c17,1,0,36.33,0.7446,0.8615,2.97,S08_papercraft_blockshuf_neg_1x_seed777_00001_.png
36,dd0a4ac5acaa,S09_fresco,9e81add78f,blockshuf_neg_2x,42,0,dd0a4ac5acaa,1,0,-93.9,0.7882,1.0827,0.63,S09_fresco_blockshuf_neg_2x_seed42_00001_.png
37,598135f7fa31,S09_fresco,9e81add78f,baseline,9999,1,12212d417911,1,1,101.49,0.6239,0.869,3.22,S09_fresco_baseline_seed9999_00001_.png
38,32d6c5781ca0,S09_fresco,9e81add78f,blockshuf_neg_1x,9999,0,32d6c5781ca0,0,0,-80.69,0.662,1.0298,2.09,S09_fresco_blockshuf_neg_1x_seed9999_00001_.png
39,a235c141367d,S04_gouache,6335032007,baseline,777,1,a9a02964dbd7,0,1,-150.86,1.1474,1.0321,1.48,S04_gouache_baseline_seed777_00001_.png
40,e71d09056895,S05_pencil,9a68323a39,blockshuf_neg_2x,9999,0,e71d09056895,0,1,159.72,0.85,1.1366,3.63,S05_pencil_blockshuf_neg_2x_seed9999_00001_.png
41,6b8da525c779,S02_linocut,e20e86ac75,baseline,9999,0,6b8da525c779,0,1,-2.9,0.9952,0.8743,1.24,S02_linocut_baseline_seed9999_00001_.png
42,4df0dd1c570d,S03_cyberpunk,6ab02b69aa,blockshuf_neg_1x,777,0,4df0dd1c570d,1,0,79.28,1.2218,0.9259,0.04,S03_cyberpunk_blockshuf_neg_1x_seed777_00001_.png
43,a91697b35056,S03_cyberpunk,6ab02b69aa,baseline,777,0,a91697b35056,1,0,29.84,1.1257,1.0072,1.56,S03_cyberpunk_baseline_seed777_00001_.png
44,1077f2ed30ff,S02_linocut,e20e86ac75,preset_pos_2x,1337,0,1077f2ed30ff,0,1,-32.44,1.5838,1.0925,2.98,S02_linocut_preset_pos_2x_seed1337_00001_.png
45,0ee0196b08ab,S09_fresco,9e81add78f,preset_pos_2x,9999,0,0ee0196b08ab,0,1,172.93,1.0506,1.0668,0.56,S09_fresco_preset_pos_2x_seed9999_00001_.png
46,cd32132103a6,S10_synthwave,25147e923b,baseline,1337,1,cb8c46bbc004,0,0,-124.96,1.1628,1.0281,0.63,S10_synthwave_baseline_seed1337_00001_.png
47,6b5fd4c86175,S01_oil,6de4189f5e,baseline,1337,0,6b5fd4c86175,1,0,-171.55,0.6038,1.0522,2.0,S01_oil_baseline_seed1337_00001_.png
48,13ce2e68ee85,S05_pencil,9a68323a39,blockshuf_neg_1x,4242145,0,13ce2e68ee85,0,0,-138.97,1.3781,1.0623,2.45,S05_pencil_blockshuf_neg_1x_seed4242145_00001_.png
49,22bfe75ef216,S03_cyberpunk,6ab02b69aa,baseline,1337,0,22bfe75ef216,1,1,60.25,0.9385,0.9887,0.27,S03_cyberpunk_baseline_seed1337_00001_.png
50,2098f2031100,S10_synthwave,25147e923b,blockshuf_neg_1x,777,0,2098f2031100,0,0,-121.51,0.6262,1.0857,3.99,S10_synthwave_blockshuf_neg_1x_seed777_00001_.png
51,2e75d0d05c6f,S02_linocut,e20e86ac75,baseline,4242145,0,2e75d0d05c6f,0,0,-7.61,1.5042,0.9956,2.35,S02_linocut_baseline_seed4242145_00001_.png
52,f7e7adc29fb7,S05_pencil,9a68323a39,baseline,9999,0,f7e7adc29fb7,1,0,77.93,0.7425,1.1318,0.16,S05_pencil_baseline_seed9999_00001_.png
53,67596b49cb72,S09_fresco,9e81add78f,blockshuf_neg_1x,4242145,0,67596b49cb72,1,0,-120.9,1.1265,0.8665,1.9,S09_fresco_blockshuf_neg_1x_seed4242145_00001_.png
54,7971ee26a821,S10_synthwave,25147e923b,baseline,42,0,7971ee26a821,1,0,-7.49,1.0764,1.067,3.36,S10_synthwave_baseline_seed42_00001_.png
55,3315a0f11058,S03_cyberpunk,6ab02b69aa,preset_pos_2x,1337,0,3315a0f11058,1,0,149.33,1.4589,0.9361,1.57,S03_cyberpunk_preset_pos_2x_seed1337_00001_.png
56,62285a4b2b0a,S01_oil,6de4189f5e,baseline,42,1,83057136d13a,1,1,-151.54,0.7667,1.0584,2.16,S01_oil_baseline_seed42_00001_.png
57,8a0f95b600ec,S05_pencil,9a68323a39,baseline,42,0,8a0f95b600ec,0,1,-53.22,0.9287,0.9347,1.46,S05_pencil_baseline_seed42_00001_.png
58,173235927424,S02_linocut,e20e86ac75,blockshuf_neg_1x,1337,0,173235927424,0,1,3.29,1.2317,0.8775,2.97,S02_linocut_blockshuf_neg_1x_seed1337_00001_.png
59,b4e4fdbb938c,S01_oil,6de4189f5e,baseline,4242145,0,b4e4fdbb938c,1,1,-143.48,1.4637,0.8541,0.83,S01_oil_baseline_seed4242145_00001_.png
60,fb94da5e4069,S04_gouache,6335032007,preset_pos_2x,777,0,fb94da5e4069,0,1,15.98,1.0517,0.9352,3.76,S04_gouache_preset_pos_2x_seed777_00001_.png
61,0d485d19432f,S02_linocut,e20e86ac75,baseline,777,0,0d485d19432f,1,1,159.35,0.7007,0.9542,2.35,S02_linocut_baseline_seed777_00001_.png
62,d9280efc561c,S05_pencil,9a68323a39,blockshuf_neg_2x,1337,0,d9280efc561c,0,1,139.86,1.424,1.1012,0.9,S05_pencil_blockshuf_neg_2x_seed1337_00001_.png
63,27b32be5d267,S03_cyberpunk,6ab02b69aa,preset_pos_2x,42,0,27b32be5d267,1,1,172.17,1.2921,1.0986,1.21,S03_cyberpunk_preset_pos_2x_seed42_00001_.png
64,a4649a61d24a,S02_linocut,e20e86ac75,blockshuf_neg_2x,42,0,a4649a61d24a,1,0,83.36,1.2552,0.8874,2.14,S02_linocut_blockshuf_neg_2x_seed42_00001_.png
65,5ad228d9ce12,S01_oil,6de4189f5e,blockshuf_neg_1x,777,0,5ad228d9ce12,0,1,24.28,1.3629,0.9174,0.27,S01_oil_blockshuf_neg_1x_seed777_00001_.png
66,03ad5f009512,S06_pastel,61861c7677,preset_pos_2x,42,0,03ad5f009512,1,0,105.75,0.7253,1.0055,2.67,S06_pastel_preset_pos_2x_seed42_00001_.png
67,3c18825eb3ee,S07_comic,69f4e68eba,preset_pos_2x,42,0,3c18825eb3ee,1,1,-119.18,1.3387,1.0579,3.5,S07_comic_preset_pos_2x_seed42_00001_.png
68,994d4ec7281d,S07_comic,69f4e68eba,blockshuf_neg_2x,777,0,994d4ec7281d,1,0,-24.19,1.0937,0.9416,0.64,S07_comic_blockshuf_neg_2x_seed777_00001_.png
69,c3a8959aa19b,S01_oil,6de4189f5e,blockshuf_neg_1x,42,0,c3a8959aa19b,1,0,80.76,0.9655,0.9262,2.99,S01_oil_blockshuf_neg_1x_seed42_00001_.png
70,a318f3a4f19b,S02_linocut,e20e86ac75,blockshuf_neg_2x,4242145,0,a318f3a4f19b,0,0,90.6,1.1584,0.9106,3.04,S02_linocut_blockshuf_neg_2x_seed4242145_00001_.png
71,ee9f922fd97c,S10_synthwave,25147e923b,blockshuf_neg_1x,42,0,ee9f922fd97c,1,1,-116.34,0.845,1.1033,3.36,S10_synthwave_blockshuf_neg_1x_seed42_00001_.png
72,266ba3996268,S05_pencil,9a68323a39,preset_pos_2x,1337,0,266ba3996268,0,1,176.52,0.9019,0.9776,1.55,S05_pencil_preset_pos_2x_seed1337_00001_.png
73,289b4ae088eb,S08_papercraft,17e466c859,baseline,42,0,289b4ae088eb,1,0,-121.91,0.8715,1.0541,2.31,S08_papercraft_baseline_seed42_00001_.png
74,9fa0735f0b43,S07_comic,69f4e68eba,blockshuf_neg_2x,4242145,0,9fa0735f0b43,1,0,-132.42,1.164,0.8953,2.44,S07_comic_blockshuf_neg_2x_seed4242145_00001_.png
75,11205ed4192d,S05_pencil,9a68323a39,baseline,777,0,11205ed4192d,0,1,156.49,0.8511,1.0633,1.22,S05_pencil_baseline_seed777_00001_.png
76,fd6fff5af466,S10_synthwave,25147e923b,blockshuf_neg_1x,1337,0,fd6fff5af466,1,0,149.07,0.9203,0.9637,2.23,S10_synthwave_blockshuf_neg_1x_seed1337_00001_.png
77,80608fce6453,S06_pastel,61861c7677,baseline,42,1,22b836993141,1,0,82.35,0.9148,1.0115,3.03,S06_pastel_baseline_seed42_00001_.png
78,17746b82b13a,S04_gouache,6335032007,blockshuf_neg_1x,1337,0,17746b82b13a,1,1,70.46,0.9131,0.9163,1.44,S04_gouache_blockshuf_neg_1x_seed1337_00001_.png
79,5bdd60627d55,S05_pencil,9a68323a39,preset_pos_2x,777,0,5bdd60627d55,0,0,159.84,0.9376,1.004,2.45,S05_pencil_preset_pos_2x_seed777_00001_.png
80,26e03ef9eb9b,S06_pastel,61861c7677,blockshuf_neg_1x,1337,0,26e03ef9eb9b,0,0,-24.65,0.8303,1.1223,0.99,S06_pastel_blockshuf_neg_1x_seed1337_00001_.png
81,764e8c7b8b3c,S05_pencil,9a68323a39,preset_pos_2x,9999,0,764e8c7b8b3c,1,0,98.39,1.4663,1.1311,0.56,S05_pencil_preset_pos_2x_seed9999_00001_.png
82,cad7131afcc5,S05_pencil,9a68323a39,preset_pos_2x,42,0,cad7131afcc5,0,1,-135.96,1.2206,0.8797,3.24,S05_pencil_preset_pos_2x_seed42_00001_.png
83,1909f556192a,S03_cyberpunk,6ab02b69aa,blockshuf_neg_1x,4242145,0,1909f556192a,1,1,-132.66,1.506,0.9197,1.19,S03_cyberpunk_blockshuf_neg_1x_seed4242145_00001_.png
84,e15477ec27a9,S01_oil,6de4189f5e,blockshuf_neg_2x,9999,0,e15477ec27a9,1,0,-145.67,1.4336,0.9096,2.06,S01_oil_blockshuf_neg_2x_seed9999_00001_.png
85,db214b149b5f,S06_pastel,61861c7677,baseline,9999,0,db214b149b5f,1,0,-14.98,1.0353,0.894,3.53,S06_pastel_baseline_seed9999_00001_.png
86,7e703830a251,S02_linocut,e20e86ac75,baseline,9999,1,6b8da525c779,1,0,-166.58,1.396,0.8914,0.28,S02_linocut_baseline_seed9999_00001_.png
87,d76c03763ab8,S10_synthwave,25147e923b,preset_pos_2x,777,0,d76c03763ab8,1,0,-57.47,0.7464,1.0974,2.83,S10_synthwave_preset_pos_2x_seed777_00001_.png
88,76b44413a68f,S06_pastel,61861c7677,blockshuf_neg_2x,1337,0,76b44413a68f,1,0,-155.23,1.4385,0.9632,3.99,S06_pastel_blockshuf_neg_2x_seed1337_00001_.png
89,35e0d77fa503,S05_pencil,9a68323a39,baseline,9999,1,f7e7adc29fb7,0,0,-147.43,1.4203,1.0958,0.89,S05_pencil_baseline_seed9999_00001_.png
90,5b396bb00a9e,S02_linocut,e20e86ac75,blockshuf_neg_1x,4242145,0,5b396bb00a9e,1,0,-94.24,1.5062,0.9834,1.84,S02_linocut_blockshuf_neg_1x_seed4242145_00001_.png
91,fa42c37bad5b,S01_oil,6de4189f5e,preset_pos_2x,4242145,0,fa42c37bad5b,0,0,-135.28,0.759,1.0605,1.19,S01_oil_preset_pos_2x_seed4242145_00001_.png
92,6d4a6fefa546,S07_comic,69f4e68eba,preset_pos_2x,4242145,0,6d4a6fefa546,0,1,-115.39,0.7804,0.966,3.58,S07_comic_preset_pos_2x_seed4242145_00001_.png
93,d2dfb7c4c888,S08_papercraft,17e466c859,blockshuf_neg_1x,1337,0,d2dfb7c4c888,0,1,-165.11,1.5539,1.0536,3.97,S08_papercraft_blockshuf_neg_1x_seed1337_00001_.png
94,37a919e3adf6,S03_cyberpunk,6ab02b69aa,baseline,9999,0,37a919e3adf6,0,1,57.19,0.84,0.9313,1.39,S03_cyberpunk_baseline_seed9999_00001_.png
95,ed7c12076ce5,S04_gouache,6335032007,baseline,42,0,ed7c12076ce5,1,0,-70.43,0.9241,0.9911,0.06,S04_gouache_baseline_seed42_00001_.png
96,483bae71f3c4,S02_linocut,e20e86ac75,blockshuf_neg_2x,1337,0,483bae71f3c4,0,1,-166.59,1.4793,1.125,2.6,S02_linocut_blockshuf_neg_2x_seed1337_00001_.png
97,b189dc769638,S06_pastel,61861c7677,preset_pos_2x,777,0,b189dc769638,1,1,-177.9,1.292,1.143,1.36,S06_pastel_preset_pos_2x_seed777_00001_.png
98,817df174e6f2,S03_cyberpunk,6ab02b69aa,blockshuf_neg_2x,777,0,817df174e6f2,0,0,80.54,1.29,1.011,3.35,S03_cyberpunk_blockshuf_neg_2x_seed777_00001_.png
99,d0b508024b5d,S10_synthwave,25147e923b,blockshuf_neg_2x,9999,0,d0b508024b5d,1,1,86.08,1.2954,0.9136,1.62,S10_synthwave_blockshuf_neg_2x_seed9999_00001_.png
100,22b836993141,S06_pastel,61861c7677,baseline,42,0,22b836993141,0,0,-40.32,1.3181,1.1032,0.6,S06_pastel_baseline_seed42_00001_.png
101,f5e3d602fc37,S01_oil,6de4189f5e,blockshuf_neg_1x,9999,0,f5e3d602fc37,1,1,171.78,1.3293,0.9927,3.42,S01_oil_blockshuf_neg_1x_seed9999_00001_.png
102,55a872aa7299,S04_gouache,6335032007,blockshuf_neg_2x,9999,0,55a872aa7299,1,1,-109.17,1.389,0.955,3.73,S04_gouache_blockshuf_neg_2x_seed9999_00001_.png
103,35064c0188c3,S05_pencil,9a68323a39,blockshuf_neg_1x,1337,0,35064c0188c3,0,0,28.79,1.5723,1.0387,0.79,S05_pencil_blockshuf_neg_1x_seed1337_00001_.png
104,c82e9da923e0,S05_pencil,9a68323a39,blockshuf_neg_1x,42,0,c82e9da923e0,1,0,-176.93,1.2206,1.1444,0.68,S05_pencil_blockshuf_neg_1x_seed42_00001_.png
105,9f3b2fb2c776,S07_comic,69f4e68eba,baseline,4242145,1,8018a80e7b21,1,0,17.23,0.6991,1.1479,2.07,S07_comic_baseline_seed4242145_00001_.png
106,2a48061cfd22,S10_synthwave,25147e923b,preset_pos_2x,1337,0,2a48061cfd22,1,1,62.29,1.2437,0.9347,2.85,S10_synthwave_preset_pos_2x_seed1337_00001_.png
107,7f375ed4ce93,S09_fresco,9e81add78f,blockshuf_neg_1x,1337,0,7f375ed4ce93,1,0,9.26,0.9817,1.1414,0.5,S09_fresco_blockshuf_neg_1x_seed1337_00001_.png
108,8112823804c5,S08_papercraft,17e466c859,preset_pos_2x,9999,0,8112823804c5,0,0,115.31,1.06,0.9689,2.43,S08_papercraft_preset_pos_2x_seed9999_00001_.png
109,9e7ecd127443,S01_oil,6de4189f5e,preset_pos_2x,42,0,9e7ecd127443,1,1,72.54,0.6174,0.9835,3.15,S01_oil_preset_pos_2x_seed42_00001_.png
110,d6e11fb14cfc,S07_comic,69f4e68eba,blockshuf_neg_2x,1337,0,d6e11fb14cfc,0,0,-33.82,0.6235,1.041,0.63,S07_comic_blockshuf_neg_2x_seed1337_00001_.png
111,c0663af56bab,S08_papercraft,17e466c859,preset_pos_2x,1337,0,c0663af56bab,0,1,155.3,0.8615,0.9515,3.28,S08_papercraft_preset_pos_2x_seed1337_00001_.png
112,a5ab18f1e07d,S02_linocut,e20e86ac75,baseline,1337,0,a5ab18f1e07d,0,1,77.91,0.828,0.8828,0.31,S02_linocut_baseline_seed1337_00001_.png
113,2b25ae9761e2,S08_papercraft,17e466c859,blockshuf_neg_2x,777,0,2b25ae9761e2,1,1,49.85,0.794,1.0149,3.5,S08_papercraft_blockshuf_neg_2x_seed777_00001_.png
114,29b78ab39f14,S03_cyberpunk,6ab02b69aa,preset_pos_2x,777,0,29b78ab39f14,0,0,39.56,0.8299,0.889,1.39,S03_cyberpunk_preset_pos_2x_seed777_00001_.png
115,fabc99507953,S01_oil,6de4189f5e,baseline,777,0,fabc99507953,1,0,-160.04,0.6626,0.8779,0.09,S01_oil_baseline_seed777_00001_.png
116,5ddf8cbe2ba1,S02_linocut,e20e86ac75,preset_pos_2x,9999,0,5ddf8cbe2ba1,1,0,-96.96,0.6641,0.9303,3.37,S02_linocut_preset_pos_2x_seed9999_00001_.png
117,4e10c5695ca5,S08_papercraft,17e466c859,baseline,1337,1,549fd90b33f0,0,1,157.13,0.9428,0.9125,2.97,S08_papercraft_baseline_seed1337_00001_.png
118,ba3f96ab2753,S10_synthwave,25147e923b,blockshuf_neg_1x,9999,0,ba3f96ab2753,0,0,-176.64,1.1653,1.1008,1.2,S10_synthwave_blockshuf_neg_1x_seed9999_00001_.png
119,4996f44d6860,S01_oil,6de4189f5e,blockshuf_neg_2x,4242145,0,4996f44d6860,0,0,-76.66,1.265,1.1071,3.64,S01_oil_blockshuf_neg_2x_seed4242145_00001_.png
120,74815f2c03a5,S01_oil,6de4189f5e,blockshuf_neg_2x,42,0,74815f2c03a5,0,1,35.32,0.7972,0.8746,2.64,S01_oil_blockshuf_neg_2x_seed42_00001_.png
121,73752a090164,S03_cyberpunk,6ab02b69aa,blockshuf_neg_1x,1337,0,73752a090164,1,1,134.11,1.5001,0.9757,3.3,S03_cyberpunk_blockshuf_neg_1x_seed1337_00001_.png
122,6dc34c64cc89,S09_fresco,9e81add78f,blockshuf_neg_2x,777,0,6dc34c64cc89,1,1,-117.78,1.1374,0.9053,1.73,S09_fresco_blockshuf_neg_2x_seed777_00001_.png
123,1e3cfcefcedf,S08_papercraft,17e466c859,blockshuf_neg_2x,42,0,1e3cfcefcedf,0,1,-118.01,1.5199,1.0731,3.79,S08_papercraft_blockshuf_neg_2x_seed42_00001_.png
124,549fd90b33f0,S08_papercraft,17e466c859,baseline,1337,0,549fd90b33f0,1,1,19.12,0.9878,0.92,3.31,S08_papercraft_baseline_seed1337_00001_.png
125,ae4519e4a246,S05_pencil,9a68323a39,baseline,4242145,0,ae4519e4a246,0,0,37.67,1.0258,0.8659,0.44,S05_pencil_baseline_seed4242145_00001_.png
126,8741ff11c898,S04_gouache,6335032007,blockshuf_neg_2x,777,0,8741ff11c898,0,1,-21.82,0.7711,0.8962,0.39,S04_gouache_blockshuf_neg_2x_seed777_00001_.png
127,2f7633bc2f9e,S05_pencil,9a68323a39,blockshuf_neg_1x,777,0,2f7633bc2f9e,0,1,-164.52,1.0135,1.0203,1.43,S05_pencil_blockshuf_neg_1x_seed777_00001_.png
128,ff0da955ae03,S09_fresco,9e81add78f,preset_pos_2x,4242145,0,ff0da955ae03,1,1,-163.58,1.0601,0.887,1.96,S09_fresco_preset_pos_2x_seed4242145_00001_.png
129,ef711f402d81,S03_cyberpunk,6ab02b69aa,preset_pos_2x,4242145,0,ef711f402d81,0,1,-13.69,1.478,1.0717,0.35,S03_cyberpunk_preset_pos_2x_seed4242145_00001_.png
130,b995c9edfd74,S04_gouache,6335032007,preset_pos_2x,1337,0,b995c9edfd74,1,1,-52.91,0.8846,0.9516,1.5,S04_gouache_preset_pos_2x_seed1337_00001_.png
131,feaabc1fd8fd,S07_comic,69f4e68eba,blockshuf_neg_1x,4242145,0,feaabc1fd8fd,0,0,16.05,1.3191,0.8891,2.12,S07_comic_blockshuf_neg_1x_seed4242145_00001_.png
132,fb441810d672,S09_fresco,9e81add78f,preset_pos_2x,777,0,fb441810d672,1,0,139.74,1.498,0.9017,0.11,S09_fresco_preset_pos_2x_seed777_00001_.png
133,14f81c363de9,S06_pastel,61861c7677,blockshuf_neg_1x,9999,0,14f81c363de9,0,0,-36.5,0.9637,0.9923,0.22,S06_pastel_blockshuf_neg_1x_seed9999_00001_.png
134,3d7d6c72e361,S06_pastel,61861c7677,baseline,4242145,0,3d7d6c72e361,0,1,125.87,0.8534,0.9982,3.08,S06_pastel_baseline_seed4242145_00001_.png
135,3ea09121810f,S03_cyberpunk,6ab02b69aa,blockshuf_neg_2x,9999,0,3ea09121810f,0,0,-22.99,1.4677,1.0811,3.6,S03_cyberpunk_blockshuf_neg_2x_seed9999_00001_.png
136,3e314ad5dc06,S05_pencil,9a68323a39,blockshuf_neg_2x,4242145,0,3e314ad5dc06,0,0,135.57,0.6268,0.9036,0.2,S05_pencil_blockshuf_neg_2x_seed4242145_00001_.png
137,12212d417911,S09_fresco,9e81add78f,baseline,9999,0,12212d417911,0,1,-177.93,0.7084,1.0539,3.02,S09_fresco_baseline_seed9999_00001_.png
138,dd3d06ac4c1f,S09_fresco,9e81add78f,baseline,42,0,dd3d06ac4c1f,1,0,-1.22,1.0189,1.1447,1.44,S09_fresco_baseline_seed42_00001_.png
139,a03e4201ed2f,S08_papercraft,17e466c859,blockshuf_neg_2x,1337,0,a03e4201ed2f,0,1,-76.87,0.8612,0.8792,3.68,S08_papercraft_blockshuf_neg_2x_seed1337_00001_.png
140,499d925a2ebf,S10_synthwave,25147e923b,preset_pos_2x,9999,0,499d925a2ebf,0,1,-122.94,1.1973,0.9065,3.03,S10_synthwave_preset_pos_2x_seed9999_00001_.png
141,fed81ba6d52c,S09_fresco,9e81add78f,baseline,4242145,0,fed81ba6d52c,1,1,-141.0,1.5769,0.8744,1.15,S09_fresco_baseline_seed4242145_00001_.png
142,27bd3046758a,S05_pencil,9a68323a39,baseline,4242145,1,ae4519e4a246,1,1,136.85,0.6365,1.0639,3.63,S05_pencil_baseline_seed4242145_00001_.png
